Term,Occurrence,Word count
Union,12,1
government,11,1
power,8,1
States,8,1
men,7,1
time,6,1
kind,6,1
part,6,1
authority,6,1
interest,5,1
execution,5,1
members,5,1
laws,5,1
principle,5,1
resolutions,4,1
objects,4,1
experience,4,1
United States,2,2
Confederation,4,1
bodies,4,1
times,4,1
measures,4,1
people,4,1
material imperfections,1,2
faith,3,1
justice,3,1
State authority,1,2
number,3,1
interests,3,1
persons intrusted,1,2
men assent,1,2
requisitions,3,1
Constitution,3,1
men act,1,2
depreciate property,1,2
DISCRETIONARY SUPERINTENDENCE,1,2
epidemical rage,1,2
waste land,1,2
opinion,3,1
COLLECTIVE CAPACITIES,1,2
right judgment,1,2
confederate government,1,2
penalty,3,1
tendency,3,1
influence,3,1
superintending power,1,2
citizens,3,1
nature,3,1
friends,3,1
material defects,1,2
conduct,3,1
powers,3,1
nations,3,1
contracting powers,1,2
state,3,1
nothing,3,1
spirit,3,1
facts,3,1
sanguinary agency,1,2
subject,3,1
idea,3,1
peace,3,1
future discretion,1,2
melancholy situation,1,2
persons,2,1
order,2,1
country,2,1
quantity,2,1
councils,2,1
thing,2,1
communities,2,1
compliance,2,1
reasons,2,1
species,2,1
importance,2,1
treaty,2,1
sovereignty,2,1
place,2,1
dignity,2,1
proposition,2,1
passions,2,1
condition,2,1
America,2,1
safety,2,1
happiness,2,1
land,2,1
observance,2,1
administration,2,1
disobedience,2,1
war,2,1
process,2,1
situation,2,1
energy,2,1
regulations,2,1
reason,2,1
principles,2,1
things,2,1
discretion,2,1
mankind,2,1
step,2,1
assemblies,2,1
aim,2,1
money,2,1
sanction,2,1
fall,2,1
credit,2,1
plan,2,1
preservation,2,1
reputation,2,1
head,2,1
alliance,2,1
extremity,2,1
league,2,1
point,2,1
propriety,2,1
scheme,2,1
defects,2,1
views,2,1
share,2,1
COERCION,2,1
circumstances,2,1
length,2,1
magistracy,2,1
sword,2,1
support,2,1
association,2,1
system,2,1
course,1,1
necessity,1,1
court,1,1
resort,1,1
Sentences,1,1
violations,1,1
duty,1,1
sentences,1,1
breach,1,1
instrument,1,1
obedience,1,1
arms,1,1
jealousies,1,1
force,1,1
lesson,1,1
drop,1,1
relation,1,1
passion,1,1
impulse,1,1
considerations,1,1
obligations,1,1
treaties,1,1
dependence,1,1
alliances,1,1
mischiefs,1,1
negotiation,1,1
resources,1,1
world,1,1
equilibrium,1,1
view,1,1
benefits,1,1
politicians,1,1
compacts,1,1
project,1,1
merit,1,1
ministers,1,1
punishment,1,1
courts,1,1
agency,1,1
ways,1,1
recommendation,1,1
advice,1,1
amount,1,1
fact,1,1
commands,1,1
words,1,1
enemies,1,1
law,1,1
difference,1,1
ingredients,1,1
council,1,1
direction,1,1
design,1,1
intrigues,1,1
rivalships,1,1
Such,1,1
Regard,1,1
name,1,1
proceedings,1,1
proceeds,1,1
measure,1,1
wills,1,1
concurrence,1,1
case,1,1
pursuits,1,1
co-operate,1,1
impressions,1,1
distance,1,1
points,1,1
pressure,1,1
conversant,1,1
wheels,1,1
ill-informed,1,1
plans,1,1
body,1,1
member,1,1
decision,1,1
mislead,1,1
favor,1,1
predilection,1,1
knowledge,1,1
scrutiny,1,1
adoption,1,1
inconveniences,1,1
delinquencies,1,1
congress,1,1
conformity,1,1
suggestions,1,1
ruins,1,1
crush,1,1
heads,1,1
edifice,1,1
convenience,1,1
voice,1,1
State,1,1
combat,1,1
hesitation,1,1
consequences,1,1
selfishness,1,1
burden,1,1
forms,1,1
consent,1,1
voyage,1,1
proportion,1,1
temptation,1,1
example,1,1
pretext,1,1
deficiencies,1,1
degrees,1,1
causes,1,1
Things,1,1
shadow,1,1
substitute,1,1
conveniences,1,1
judge,1,1
man,1,1
constraint,1,1
improprieties,1,1
deliberations,1,1
poison,1,1
faction,1,1
action,1,1
infamy,1,1
inference,1,1
observers,1,1
individuals,1,1
disinterestedness,1,1
rectitude,1,1
dictates,1,1
capacity,1,1
establishment,1,1
inducements,1,1
springs,1,1
ignorance,1,1
wisdom,1,1
oracle,1,1
lessons,1,1
quarter,1,1
day,1,1
language,1,1
sense,1,1
breaches,1,1
excesses,1,1
addition,1,1
right,1,1
affairs,1,1
rulers,1,1
prospect,1,1
administrations,1,1
intervention,1,1
Confederacy,1,1
constitution,1,1
results,1,1
decrees,1,1
weal,1,1
regard,1,1
good-humor,1,1
confederacy,1,1
enemy,1,1
impatience,1,1
love,1,1
origin,1,1
centre,1,1
effort,1,1
operation,1,1
orbs,1,1
sovereignties,1,1
operations,1,1
attempts,1,1
eye,1,1
exercise,1,1
control,1,1
Europe,1,1
rule,1,1
century,1,1
performance,1,1
territories,1,1
discharge,1,1
provision,1,1
existence,1,1
peril,1,1
foreigners,1,1
debts,1,1
violation,1,1
subjects,1,1
tie,1,1
engagements,1,1
possession,1,1
nation,1,1
character,1,1
pride,1,1
anything,1,1
humiliation,1,1
stage,1,1
reality,1,1
confession,1,1
policy,1,1
sensibility,1,1
posts,1,1
stipulations,1,1
anarchy,1,1
danger,1,1
ambassadors,1,1
imbecility,1,1
encroachments,1,1
eyes,1,1
respectability,1,1
declension,1,1
wealth,1,1
commerce,1,1
irretrievable,1,1
cause,1,1
resource,1,1
prejudice,1,1
Spain,1,1
Mississippi,1,1
navigation,1,1
participation,1,1
respect,1,1
imputations,1,1
treasury,1,1
troops,1,1
aggression,1,1
rights,1,1
speculation,1,1
rescue,1,1
decrease,1,1
truths,1,1
difficulties,1,1
travel,1,1
field,1,1
attention,1,1
information,1,1
quest,1,1
places,1,1
road,1,1
arguments,1,1
confirmation,1,1
inquiry,1,1
mazes,1,1
sequel,1,1
misrepresentation,1,1
jealousy,1,1
avarice,1,1
ambition,1,1
knot,1,1
dangers,1,1
complication,1,1
light,1,1
fellow-citizens,1,1
journey,1,1
sophistry,1,1
something,1,1
proof,1,1
sentiment,1,1
respects,1,1
truth,1,1
opponents,1,1
substance,1,1
classes,1,1
feelings,1,1
understandings,1,1
controverted,1,1
position,1,1
